RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
70,11,189,221.174,0.810,,,,,,,,,,,189,9.038,0.000,,,
70,12,193,489.732,10.502,20,174.916,11.505,,,,,20,1.230,0.000,193,11.045,0.000,,,
70,13,478,822.159,2.281,,,,,,,,,,,478,29.201,0.000,,,
70,14,173,226.795,0.278,,,,,,,,,,,173,6.891,0.000,,,
70,15,2735,3686.590,5.154,,,,,,,,,,,2735,100.337,0.000,,,
70,16,2524,3503.600,7.130,,,,,,,,,,,2524,102.358,0.001,,,
70,17,499,649.089,0.632,,,,,,,,,,,499,22.611,0.001,,,
70,18,3340,4531.339,24.735,11,93.577,4.196,,,,,16,0.609,0.000,3340,150.340,0.004,,,
70,19,5768,7334.282,38.314,5,61.513,19.668,,,,,7,0.299,0.000,5768,277.302,0.828,,,
60,0,2688,3342.224,9.320,,,,,,,,,,,2688,125.925,0.282,,,
60,1,179225,818849.4,378961.8,70025,668709.5,83328.80,12,543734.7,294141605,,71922,4239.290,2938.358,179225,6034.433,153.347,,,
60,2,184261,891835.7,9810987,71907,740050.4,126303.6,11,461900.1,509082059,,74315,4021.413,479.364,184261,6403.265,42097.37,,,
60,3,173070,792220.2,435837.6,62813,634374.9,144914.1,13,441038.8,554162559,,64605,3371.097,2779.950,173070,7343.008,130.597,,,
60,4,180645,903074.3,616594.5,70755,755595.5,193592.5,13,407225.9,572186985,,72456,3675.831,2127.939,180645,5819.064,54.331,,,
60,5,3939,4721.422,30.012,,,,,,,,,,,3939,202.320,0.784,,,
60,6,6155,8494.450,26.227,,,,,,,,,,,6155,244.581,0.478,,,
60,7,174,211.530,0.719,,,,2737,1362877,1205449,,,,,174,7.005,0.000,,,
60,8,2656,3725.879,4.576,,,,,,,,,,,2656,104.638,0.001,,,
60,9,1528,2070.844,1.509,,,,,,,,,,,1528,75.352,0.172,,,
60,10,578,838.809,1.524,,,,,,,,,,,578,24.989,0.000,,,
60,11,131,175.940,0.389,,,,,,,,,,,131,5.127,0.000,,,
60,12,439,907.142,4.310,18,155.484,8.871,,,,,23,1.275,0.000,439,24.528,0.000,,,
60,13,195,300.491,5.587,3,27.254,7.374,,,,,13,7.846,3.722,195,8.865,0.000,,,
