RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
90,0,3863,5416.025,11.349,,,,,,,,,,,3863,155.067,0.001,,,
90,1,787045,1777824,7214698,39982,694739.1,38447.14,55,532080.2,81363469,,322626,329553.0,215762.2,787045,29095.48,3762.162,,,
90,2,505391,962080.1,6533737,,,,1,89062.54,0.000,,,,,505391,31513.16,429876.3,,,
90,3,786701,1776795,8160760,40000,691665.6,12564.49,62,649579.4,87161214,,321299,318690.9,205140.0,786701,26832.87,3120.512,,,
90,4,786992,1757364,2881606,38788,678715.5,25474.68,51,578639.4,103015303,,321006,327833.8,160457.6,786992,27470.43,1698.157,,,
90,5,786727,1809778,3339612,40632,707645.0,15287.46,57,554328.0,85455599,,323664,338833.2,184864.4,786727,29309.21,1553.065,,,
90,6,786780,1791081,10150928,40235,701991.5,8859.987,55,565288.7,72367573,,323455,337892.1,404428.8,786780,27161.45,3997.658,,,
90,7,1989,2840.426,1.242,,,,1467,2619403,8065061,,,,,1989,87.644,0.000,,,
90,8,3946,5713.167,10.074,5,46.562,4.086,,,,,19,22.792,9.069,3946,157.970,0.001,,,
90,9,4801,6566.266,21.520,,,,,,,,,,,4801,194.102,0.003,,,
90,10,3271,4509.482,15.406,,,,,,,,,,,3271,154.385,0.473,,,
90,11,271,442.029,2.220,5,39.756,6.099,,,,,19,0.690,0.000,271,12.880,0.000,,,
90,12,366,563.832,1.519,,,,,,,,,,,366,18.345,0.000,,,
90,13,273,474.268,2.917,,,,,,,,,,,273,12.796,0.000,,,
90,14,373,611.706,3.358,2,25.980,56.945,,,,,7,0.428,0.000,373,18.980,0.000,,,
90,15,443,762.649,1.274,,,,,,,,,,,443,24.530,0.000,,,
90,16,459,1298.082,14.814,,,,,,,,,,,459,30.791,0.001,,,
90,17,3210,4629.964,29.793,,,,,,,,,,,3210,161.354,0.003,,,
90,18,3890,5486.082,12.117,,,,,,,,,,,3890,174.198,0.242,,,
90,19,4893,6347.583,11.877,,,,,,,,,,,4893,216.743,0.566,,,
80,0,4939,6828.049,13.955,,,,,,,,,,,4939,226.179,0.417,,,
80,1,764675,1793628,7242234,39801,696058.0,9301.596,66,543744.0,61790976,,302032,340548.0,291279.3,764675,27001.53,3655.400,,,
80,2,438398,919781.9,6911574,,,,,,,,,,,438398,30016.90,992651.9,,,
80,3,786565,1804086,5499156,41026,710479.5,9626.258,64,542507.3,76148466,,324133,330829.2,251965.1,786565,27851.68,19212.61,,,
